Mean, Std, Number, QR
877.1, 839.28025116763, 10.0, yes
3088.5833333333335, 2887.9852321971607, 6.0, yes
0.0, 0.0, 0.0, no
1327.7142857142858, 2158.993843985514, 7.0, yes
20741.0, 0.0, 1.0, yes
13281.5, 0.0, 1.0, yes
4767.0, 10975.808466805533, 9.0, yes
1866.8, 2585.4821136492124, 10.0, yes
0.0, 0.0, 0.0, no
0.0, 0.0, 0.0, no
14458.25, 14309.25, 2.0, yes
20156.0, 0.0, 1.0, yes
13170.0, 13143.5, 2.0, no
1812.7142857142858, 1841.4020445833978, 7.0, yes
0.0, 0.0, 0.0, no
7893.7, 12200.570255524945, 5.0, no
4552.5, 9616.893911237661, 8.0, yes
3986.5, 0.0, 1.0, no
5942.666666666667, 7275.531416253309, 3.0, yes
20624.5, 0.0, 1.0, no
40074.5, 0.0, 1.0, no
0.0, 0.0, 0.0, no
0.0, 0.0, 0.0, no
5664.625, 7854.445280977836, 4.0, yes
46140.5, 0.0, 1.0, no
5734.833333333333, 7125.635016536344, 3.0, yes
20133.5, 0.0, 1.0, yes
7956.833333333333, 3032.5133781879495, 3.0, yes
25616.0, 0.0, 1.0, no
46225.0, 0.0, 1.0, no
7029.166666666667, 8493.501695741017, 3.0, yes
5330.6, 8902.263792991085, 5.0, yes
4999.7, 8885.782264944375, 5.0, yes
5486.416666666667, 9485.839817049527, 6.0, yes
4550.75, 6747.494669319865, 10.0, yes
46225.0, 0.0, 1.0, no
1782.0, 2217.565519513084, 6.0, yes
23565.5, 0.0, 1.0, no
3064.4166666666665, 7940.023291405104, 12.0, yes
17807.25, 17269.25, 2.0, no
12972.0, 3071.5, 2.0, no
17393.5, 0.0, 1.0, no
2605.0555555555557, 6194.691582513946, 9.0, yes
46225.0, 0.0, 1.0, no
4758.5, 8079.864763719749, 5.0, yes
29173.0, 0.0, 1.0, no
3826.4285714285716, 8262.496645465371, 7.0, yes
27939.5, 0.0, 1.0, no
0.0, 0.0, 0.0, no
2461.0, 0.0, 1.0, no
44160.5, 0.0, 1.0, no
5820.375, 6214.893345575208, 4.0, yes
19424.5, 0.0, 1.0, yes
0.0, 0.0, 0.0, no
3194.8571428571427, 2658.0066606694695, 7.0, yes
0.0, 0.0, 0.0, no
36158.0, 0.0, 1.0, no
2757.875, 2149.515072493096, 4.0, yes
5264.0, 6851.7733470978155, 3.0, yes
5115.5, 0.0, 1.0, yes
4907.125, 7007.405916020207, 4.0, yes
37014.0, 0.0, 1.0, no
8821.0, 11104.04368537276, 3.0, yes
4218.75, 600.25, 2.0, yes
1739.9, 2408.603026652587, 5.0, yes
0.0, 0.0, 0.0, no
46220.5, 0.0, 1.0, no
0.0, 0.0, 0.0, no
9177.166666666666, 12691.780189905943, 3.0, yes
1608.6666666666667, 1969.9166155505725, 6.0, yes
9537.5, 7902.5, 2.0, yes
6777.25, 11278.684456198782, 4.0, yes
5564.666666666667, 4499.766833465436, 3.0, yes
6617.666666666667, 8768.386485297939, 3.0, yes
39743.5, 0.0, 1.0, no
17977.0, 17401.5, 2.0, yes
10964.5, 9939.0, 2.0, yes
15652.5, 0.0, 1.0, yes
1540.5833333333333, 1809.0805080819987, 6.0, yes
3112.5, 0.0, 1.0, yes
4068.125, 2257.883587981232, 4.0, yes
3365.6666666666665, 3581.298747971499, 3.0, yes
0.0, 0.0, 0.0, no
9181.75, 2693.3755192137614, 4.0, yes
7532.5, 6687.5, 2.0, yes
903.1666666666666, 682.1626557419345, 6.0, yes
1528.125, 1213.1240340027066, 4.0, yes
4130.833333333333, 4711.413328880789, 6.0, yes
36902.5, 0.0, 1.0, no
38347.0, 0.0, 1.0, no
4068.6, 3681.60780638025, 5.0, yes
20242.0, 20180.0, 2.0, no
5518.666666666667, 4235.023225700447, 3.0, yes
0.0, 0.0, 0.0, no
42507.5, 0.0, 1.0, no
0.0, 0.0, 0.0, no
1504.8333333333333, 1673.2401866505068, 3.0, yes
4249.75, 6973.409930765579, 4.0, yes
1583.2727272727273, 2148.5262535010997, 11.0, yes
46225.0, 0.0, 1.0, no
21943.5, 0.0, 1.0, yes
13357.25, 13283.25, 2.0, yes
6389.875, 9981.354162731377, 4.0, yes
9304.0, 12612.21338623796, 4.0, yes
8992.666666666666, 12435.185043076584, 3.0, yes
11290.25, 64.25, 2.0, yes
3676.5, 3350.557998304163, 5.0, yes
19371.25, 19278.75, 2.0, yes
44718.0, 0.0, 1.0, no
8345.5, 2622.0, 2.0, yes
9382.0, 0.0, 1.0, no
46225.0, 0.0, 1.0, no
9026.125, 14265.881975779661, 4.0, yes
0.0, 0.0, 0.0, yes
0.0, 0.0, 0.0, no
12553.333333333334, 17115.35587483422, 3.0, yes
3011.7, 2927.1351796594568, 5.0, yes
6651.666666666667, 9240.358545833356, 3.0, yes
4400.75, 7051.196188413708, 4.0, yes
1763.9, 1428.2832142120833, 5.0, yes
38264.5, 0.0, 1.0, no
6014.416666666667, 8810.430453997253, 6.0, yes
3835.875, 7274.607690238354, 8.0, yes
807.7142857142857, 823.9727308743231, 7.0, yes
17094.5, 0.0, 1.0, no
18907.25, 18755.25, 2.0, yes
14522.75, 14231.75, 2.0, no
0.0, 0.0, 0.0, no
1082.5, 775.1243126105644, 5.0, yes
8194.833333333334, 11384.551523397347, 3.0, yes
0.0, 0.0, 0.0, no
7778.5, 9869.145885029768, 3.0, yes
24340.0, 0.0, 1.0, no
42887.0, 0.0, 1.0, no
46225.0, 0.0, 1.0, no
1992.5, 1803.0, 2.0, no
6827.875, 9019.542202732631, 4.0, yes
46149.5, 0.0, 1.0, no
15785.5, 0.0, 1.0, yes
0.0, 0.0, 0.0, no
7865.875, 8089.128409283351, 4.0, yes
6072.916666666667, 11872.827701017797, 6.0, yes
7476.833333333333, 13041.562245588355, 6.0, yes
831.0, 1019.6875338390024, 3.0, yes
18593.75, 18545.75, 2.0, no
22302.0, 22151.0, 2.0, no
5355.5, 5715.154459854956, 3.0, yes
1598.2083333333333, 2265.707013074996, 12.0, yes
14740.5, 0.0, 1.0, yes
2563.714285714286, 1713.142577194297, 7.0, yes
3516.285714285714, 7549.448422884676, 7.0, yes
8317.666666666666, 11655.12516973637, 3.0, yes
46026.0, 0.0, 1.0, no
6947.833333333333, 8549.24153880851, 3.0, yes
46225.0, 0.0, 1.0, no
29959.0, 0.0, 1.0, no
5707.833333333333, 8593.818561746706, 6.0, yes
45686.0, 0.0, 1.0, no
0.0, 0.0, 0.0, no
16415.5, 0.0, 1.0, no
5141.666666666667, 10168.843959478492, 6.0, yes
16096.5, 11774.0, 2.0, no
12710.5, 11166.5, 2.0, yes
1019.0, 1017.0, 2.0, yes
2985.375, 7778.123622606012, 12.0, yes
9767.5, 2125.5, 2.0, yes
3007.2727272727275, 7200.29162087341, 11.0, yes
6125.166666666667, 7684.41957614381, 3.0, yes
3428.6875, 8276.522457898229, 8.0, yes
6233.666666666667, 7267.228315450731, 3.0, yes
6995.5, 6902.0, 2.0, yes
